Training Step,Steps,Reward
0,36.334999999999994,0.005
50000,75.36999999999999,0.11000000000000001
100000,30.7,0.4050000000000001
150000,33.565,0.31500000000000006
200000,27.22,0.30500000000000005
250000,30.465000000000003,0.30500000000000005
300000,36.83,0.185
350000,27.910000000000004,0.335
400000,29.32,0.4149999999999999
450000,38.795,0.39499999999999996
500000,31.225000000000005,0.44499999999999995
550000,46.745000000000005,0.33499999999999996
600000,38.795,0.35500000000000004
650000,36.67,0.41
700000,36.3,0.495
750000,40.895,0.45499999999999996
800000,36.325,0.48
850000,39.415,0.5399999999999999
900000,36.035,0.43499999999999994
950000,42.875,0.305
1000000,37.8,0.55
