Training Step,Steps,Reward
0,27.620000000000005,0.01
50000,17.395,0.19
100000,17.509999999999998,0.24000000000000005
150000,28.385,0.3
200000,33.300000000000004,0.37999999999999995
250000,33.845000000000006,0.43
300000,30.26,0.395
350000,32.03,0.38999999999999996
400000,31.01,0.485
450000,44.654999999999994,0.54
500000,34.3,0.52
550000,36.325,0.505
600000,38.35,0.4750000000000001
650000,33.39,0.495
700000,36.015,0.66
750000,38.019999999999996,0.4549999999999999
800000,39.295,0.705
850000,38.144999999999996,0.64
900000,40.90500000000001,0.59
950000,39.739999999999995,0.605
1000000,43.23,0.69
