Training Step,Reward,Value Error
25000,128.0,0.0
50000,155.0,0.0
75000,170.0,0.0
100000,178.0,0.0
125000,204.0,0.0
150000,228.0,0.0
175000,248.0,0.0
200000,294.0,0.0
225000,309.0,0.0
250000,354.0,0.0
275000,360.0,0.0
300000,387.0,0.0
325000,376.0,0.0
350000,408.0,0.0
375000,351.0,0.0
400000,391.0,0.0
425000,352.0,0.0
450000,358.0,0.0
475000,370.0,0.0
500000,341.0,0.0
525000,370.0,0.0
550000,371.0,0.0
575000,396.0,0.0
600000,343.0,0.0
625000,355.0,0.0
650000,370.0,0.0
675000,356.0,0.0
700000,342.0,0.0
725000,404.0,0.0
750000,331.0,0.0
775000,368.0,0.0
800000,350.0,0.0
825000,395.0,0.0
850000,374.0,0.0
875000,394.0,0.0
900000,365.0,0.0
925000,332.0,0.0
950000,380.0,0.0
975000,340.0,0.0
1000000,367.0,0.0
