Training Step,Steps,Reward
0,18.755000000000003,0.01
50000,52.11,0.155
100000,35.525,0.42000000000000004
150000,42.114999999999995,0.61
200000,42.7,0.6199999999999999
250000,45.505,0.6849999999999998
300000,43.185,0.6100000000000001
350000,44.33,0.655
400000,49.31,0.54
450000,42.105000000000004,0.65
500000,37.84,0.595
550000,40.69,0.695
600000,39.82000000000001,0.67
650000,43.75,0.7000000000000001
700000,40.195,0.7000000000000001
750000,40.315000000000005,0.7500000000000001
800000,44.334999999999994,0.655
850000,41.655,0.65
900000,42.199999999999996,0.655
950000,48.01,0.6199999999999999
1000000,43.980000000000004,0.725
