Training Step,Reward,Value Error
25000,119.0,409.6959671656632
50000,136.0,229.77033996989337
75000,149.0,239.89716332934273
100000,175.0,264.90062105809193
125000,186.0,267.05621299338594
150000,216.0,265.5795380984903
175000,232.0,250.34731116087818
200000,291.0,228.30427205058697
225000,292.0,217.971501716784
250000,327.0,174.6876729141228
275000,347.0,144.6253493587596
300000,360.0,139.58451618708176
325000,352.0,151.52672896195378
350000,339.0,145.5830380478181
375000,349.0,146.68672825634766
400000,367.0,149.3487048109525
425000,357.0,143.77815818499096
450000,386.0,141.16067459594865
475000,342.0,148.38115981464446
500000,382.0,143.1339891882966
525000,391.0,148.15736714114956
550000,378.0,153.03875995983907
575000,350.0,149.28254038421366
600000,392.0,146.8125206098666
625000,360.0,143.4411259719167
650000,395.0,144.92486554027943
675000,383.0,146.21471598097094
700000,368.0,155.9016082452139
725000,379.0,149.09707500222262
750000,353.0,145.6118362911041
775000,377.0,144.05365158318335
800000,379.0,146.91605463884753
825000,364.0,154.99363726549825
850000,383.0,152.44671829096137
875000,382.0,152.93352007789005
900000,372.0,148.9487199419634
925000,330.0,144.72168277250654
950000,373.0,144.47842066711698
975000,352.0,146.5198880677581
1000000,345.0,147.37916775967457
