Training Step,Reward,Value Error
25000,88.0,175.16467321021386
50000,141.0,177.8701743871209
75000,143.0,214.9497305208359
100000,170.0,222.24423520490464
125000,191.0,244.40114030307208
150000,250.0,235.6219962215527
175000,248.0,256.06081154579414
200000,287.0,244.24761377084164
225000,318.0,211.73573614363534
250000,349.0,188.63815369442867
275000,362.0,158.57836738694402
300000,382.0,150.03083138533447
325000,366.0,149.57788628241923
350000,344.0,148.2329372094479
375000,351.0,146.04100027803725
400000,378.0,151.54591939426035
425000,360.0,143.43655664199065
450000,343.0,143.67936957704308
475000,379.0,145.4200919589955
500000,367.0,158.6381283465313
525000,353.0,146.4060430648275
550000,373.0,142.80695706759593
575000,347.0,146.4603934585576
600000,358.0,139.75488902167365
625000,356.0,147.8636470363008
650000,368.0,147.93239908060042
675000,360.0,148.68203804201949
700000,359.0,145.59543440698164
725000,368.0,146.72192047093995
750000,384.0,146.57145077381386
775000,340.0,140.77898562559847
800000,328.0,139.7844370445462
825000,355.0,142.0611045693986
850000,341.0,142.0462560124236
875000,366.0,147.33545491951446
900000,339.0,147.36248992122702
925000,378.0,146.06393981459485
950000,383.0,144.20429892004475
975000,347.0,147.30200074259125
1000000,373.0,143.34667503568357
