Training Step,Steps,Reward
0,95.215,-497.10814137081695
50000,749.1699999999998,92.66477198766113
100000,489.33500000000004,164.29929586884143
150000,430.95500000000004,131.991333192207
200000,355.88,170.97579252683232
250000,292.70500000000004,206.44570511522994
300000,304.005,215.67864853739428
350000,268.02,232.91836372227652
400000,250.51500000000001,217.95160980913224
450000,252.22500000000005,223.2556050638344
500000,295.54,236.59578108706924
550000,263.7,239.45271264635193
600000,243.3,253.83198578380743
650000,254.29499999999993,253.15586159895187
700000,255.2,225.5626818582641
750000,281.14500000000004,253.0256514342111
800000,223.935,263.1960186313875
850000,206.89499999999998,254.97382605960848
900000,231.815,245.04400001337189
950000,228.94500000000002,222.50893801518023
1000000,218.07000000000002,155.08583553609506
