Training Step,Steps,Reward
0,17.950167130141157,321.03238590555225
50000,81.08905780897145,196.7022960363814
100000,99.8371995054414,147.73077071787347
150000,158.5008812902638,59.81889556924549
200000,150.51482518829303,47.56953413733434
250000,130.70392358116163,46.40217806750159
300000,96.78664290482578,40.23022749417504
350000,74.56402097023813,39.767483480296015
400000,68.33432541560857,39.182005461539134
450000,58.00975899580485,52.25157989805579
500000,83.77222474773421,49.37069267915779
550000,96.84113974604229,44.56731448822283
600000,95.1099360685897,32.56348031685919
650000,65.8200834882295,27.034871686124976
700000,51.06178307338504,35.318534387916834
750000,37.180553901385956,30.1977081617668
800000,41.360770700836525,41.487646896071745
850000,36.703195330787175,34.30190077433851
900000,66.37957827703964,34.79282269600669
950000,67.19088487188547,35.42355601455592
1000000,108.07606403148043,105.28610121822258
