Training Step,Reward,Value Error
25000,-18959.19732427171,761100.6638569391
50000,-557.8618878834072,387926.003446396
75000,614.9837808675156,285009.8069600458
100000,1128.1494585434311,236535.15081555903
125000,1615.9749755070522,245982.47695453832
150000,2643.142037964027,287037.6940867753
175000,3037.0218579595185,216523.40866375776
200000,10381.962979280019,228505.26433838706
225000,16105.777098080469,887736.7353449162
250000,21928.341702553644,1378810.5286827474
275000,21728.31724380521,619309.8829268663
300000,25595.579867102595,482694.5560442501
325000,23483.03803968382,1001644.7296588148
350000,18315.891219171295,4279929.3214999335
375000,26199.457585906595,3834735.876052185
400000,25605.080739503876,314754.8322201668
425000,22947.20988044046,628226.1849898583
450000,20109.903606846154,1863885.1097566746
475000,24484.945042665466,1761199.3721042068
500000,23259.08330151193,1705175.6526985615
525000,23860.722491677552,17668602.541362148
550000,23806.310430604848,4775524.864447861
575000,22471.169891351274,45767815.45693348
600000,29784.655370297023,15902152.226311296
625000,27292.458735396573,2447994.580557254
650000,31637.758497367904,600334.3937726126
675000,32302.332365135615,192550.46598769512
700000,30506.981027689122,478182.7693474483
725000,32192.557493513574,242852.38056593784
750000,32873.5068095477,235618.09838975908
775000,31642.271856707932,358953.3039971078
800000,29104.88166832793,387239.97992079594
825000,30877.0656922822,424425.1733561806
850000,34201.29257534497,572163.6724154396
875000,32084.465396183,556915.5907816212
900000,30859.41736353752,1167216.2178628761
925000,27805.313492836303,454163.44213245425
950000,35278.62168720843,271623.95686921367
975000,34673.36601007045,212547.65688859086
1000000,33342.32924945693,199470.44989640117
