Training Step,Steps,Reward
0,107.25,-658.6629090454112
50000,416.84999999999997,-20.237020216959536
100000,101.35000000000001,-220.2127965368708
150000,167.13333333333335,-161.83458257989338
200000,262.51666666666665,-133.32011261582872
250000,165.3166666666667,-424.493918867515
300000,285.93333333333334,-109.11941747363005
350000,191.20000000000002,-140.50089630278615
400000,111.48333333333333,-125.13524491517107
450000,246.25,-124.82160148533403
500000,273.25000000000006,-145.34487513976816
550000,194.58333333333334,-173.52634869859398
600000,130.45000000000002,-317.72162499297855
650000,187.04999999999998,-280.65084166040225
700000,178.29999999999998,-424.2517715835948
750000,218.43333333333337,-234.69680586094125
800000,155.86666666666667,-283.76330410354547
850000,438.73333333333335,-643.4722287064578
900000,163.85,-466.24742446823166
950000,115.30000000000001,-313.156385352467
1000000,242.75000000000003,-580.1883121910148
