Training Step,Steps,Reward
0,78.68333333333334,-347.2560589098025
50000,312.1,-230.56488989818786
100000,270.5833333333333,-174.14435804690058
150000,305.8,-136.26181050097975
200000,221.33888888888887,-159.1498864405196
250000,194.87222222222226,-214.08458237632965
300000,252.95555555555555,-245.79809369500921
350000,241.66666666666666,-225.52729378256197
400000,277.34999999999997,-192.28509363023568
450000,230.2833333333333,-142.45743980743205
500000,231.33888888888887,-142.11044504007359
550000,233.1777777777778,-152.48995961236338
600000,193.4777777777778,-245.1904897228582
650000,157.78333333333333,-292.6595830402576
700000,142.07222222222222,-403.40977587173256
750000,164.7722222222222,-379.1723922282622
800000,167.12222222222223,-431.1783690709082
850000,238.75555555555556,-442.6501253448261
900000,234.13333333333333,-441.1699010173182
950000,243.75555555555556,-427.351965550266
1000000,178.14444444444447,-446.1786197570603
