Training Step,Reward,Value Error
25000,-15783.16564916288,673431.1706128651
50000,-10825.937315913372,981537.8912370153
75000,-11725.174329848958,1084932.7115136266
100000,-10698.36105336013,3796134.0058580213
125000,-112532.73543150186,19786551.3689986
150000,-145062.47693461913,27289081.51454377
175000,-117485.25144048413,47608467.67765128
200000,-164106.65240362668,62956553.513132334
225000,-106881.30161039883,13668599.447641676
250000,-141249.67473919387,247259545.92506385
275000,-159056.65829109997,1304186396.4241498
300000,-127692.38994454916,1663194997.4766555
325000,-166969.65060118402,3833324236.288539
350000,-160278.7897376017,1662898848.0051792
375000,-123549.61238640311,530966779.5684685
400000,-77303.98528106986,102707730.73798792
425000,-155955.3543653654,185069433.54748273
450000,-158226.1785284477,300738109.52496463
475000,-170359.19194197957,266516685.90167826
500000,-198737.09968184904,329160834.28040016
525000,-195532.60520828134,379806989.73320365
550000,-172394.0865425874,181373559.12348402
575000,-178628.13167343778,282984348.38464564
600000,-177237.89042250576,214079467.74253163
625000,-181128.66553455015,175391971.52747864
650000,-177936.89014022434,81557461.74990414
675000,-163749.90137485767,489695228.5621732
700000,-148370.75715150818,931838845.3627193
725000,-152447.75843179823,970935568.8354445
750000,-171215.03317144548,2222571953.9563246
775000,-183991.2664357678,1045930042.3437319
800000,-197825.3084522704,594185838.8522303
