Training Step,Steps,Reward
0,99.11499999999998,-601.8684375746582
50000,424.895,-261.8990875726462
100000,441.71666666666664,-118.35469812636211
150000,583.4699999999999,138.68960641332214
200000,450.56333333333333,160.92432727566492
250000,391.2250000000001,172.37401797721637
300000,317.4766666666667,178.9292274152011
350000,291.9166666666667,202.3592778944816
400000,286.0216666666667,204.81318743205736
450000,272.56666666666666,216.05175143975248
500000,265.6583333333333,222.47942796343645
550000,249.70166666666668,229.12297579672182
600000,262.0116666666667,237.21288965618297
650000,253.50500000000002,237.54808718608226
700000,255.215,243.29416928688207
750000,232.71333333333337,234.1257328404081
800000,244.35833333333335,228.18555451763953
850000,250.08500000000004,227.54221337490017
900000,256.52500000000003,234.29707524115807
950000,274.665,241.91297230711032
1000000,268.90833333333336,230.32411011286578
