Training Step,Reward,Value Error
25000,-20935.74777461563,493929.2533041734
50000,-415.7856126626757,370227.63715993107
75000,1682.8357347131603,276935.6286929193
100000,2113.4627064903552,505310.1376092689
125000,788.26430755261,517439.0194877246
150000,2750.1860806550476,458590.94806609326
175000,1817.4324994028332,389023.2376246886
200000,5302.368820285566,641934.6459804003
225000,5931.333104642562,643217.4783420435
250000,12105.793641767967,574476.2278064127
275000,15615.42376751286,771875.0400586823
300000,7556.30877426184,858120.3451982635
325000,5815.199531886497,1010850.5064562376
350000,1514.4096132151817,1179709.2752006967
375000,4581.971331349064,742943.7535963379
400000,8887.86144453049,640589.2131086104
425000,9052.395736423754,437441.2919837535
450000,8850.267699529895,1036773.2746881135
475000,50.0376672244431,1025165.6423607413
500000,425.0644193640896,1043268.4980197162
525000,3267.731802987616,653725.9155440679
550000,9311.648669570552,449024.32389274944
575000,13437.147588145783,499679.39997374616
600000,15194.687292514103,791270.4098310955
625000,17300.315520777316,1720644.5035353021
650000,-58927.699738322335,4991848.2433264805
675000,-118709.44235794933,3417171.5706346384
700000,-69292.73663651857,1208661.3493591228
725000,-68811.56127427201,4226510.861589335
750000,-67103.7391496634,30519737.046514574
775000,-61059.20883604941,17816445.434568703
800000,-25463.9426446681,12133068.613649603
825000,-8919.282896824232,2639006.15797369
850000,-6809.1267819851055,1573654.404585443
875000,-53489.6200181612,1942963.9722661613
900000,-34527.9420412667,2462130.300123548
925000,-27216.98618703111,1274217.6920705852
950000,-12538.035587035061,487348.49562890735
975000,-8201.20730363572,460775.38666659576
1000000,-4204.017925482921,409975.72258573613
