Training Step,Steps,Reward
0,72.53333333333333,-532.9774347856634
50000,469.15000000000003,-1.0583450431654147
100000,199.65,-128.5951917569712
150000,131.78333333333333,-301.94271638271283
200000,135.18333333333334,-281.44907956481205
250000,189.20000000000002,-161.84560789012343
300000,132.26666666666665,-269.37712204450827
350000,198.95000000000002,-404.0456676125409
400000,185.79999999999998,-404.4692294038173
450000,187.73333333333335,-801.0427584040485
500000,193.56666666666663,-281.6925701065215
550000,93.25,-358.49464605677576
600000,151.45,-494.17907657099937
650000,171.0666666666667,-716.0424134534406
700000,166.15,-652.4865253865327
750000,147.33333333333334,-737.28488127399
800000,139.48333333333332,-450.24744393249756
850000,190.20000000000002,-422.2513760708982
900000,91.13333333333333,-416.2400417599694
950000,133.98333333333335,-620.123320652236
1000000,148.53333333333333,-563.774425810672
