Training Step,Steps,Reward
0,81.31,-414.2641548278886
50000,479.0375,-209.08432165083875
100000,475.6366666666667,-85.12273488347992
150000,590.7916666666666,108.54184161681273
200000,419.71166666666664,170.8992276469323
250000,372.0983333333333,190.35486713655936
300000,328.4183333333333,209.72430941843217
350000,296.8433333333333,221.7657360081234
400000,264.7616666666666,231.11177354998574
450000,236.8283333333333,239.41446831352064
500000,223.00666666666658,255.40739210517623
550000,216.74999999999991,253.66159482905695
600000,213.2483333333333,257.6277729231959
650000,209.42166666666662,259.14416592036986
700000,218.65499999999997,268.45311489393225
750000,215.09333333333328,270.55254109758977
800000,232.3283333333333,266.24356898770185
850000,229.275,263.7744612519528
900000,237.01999999999998,265.801963741251
950000,219.71833333333328,268.9416478470419
1000000,243.3366666666666,265.8816153569827
