Training Step,Steps,Reward
0,25.305801706328133,237.87647227773462
50000,121.49572241825398,184.1922440415134
100000,139.7845889254382,141.91776727387676
150000,173.5849211096004,75.3339270259928
200000,129.45289643822093,50.0727279696146
250000,95.9709877406259,56.11225661295432
300000,73.40522591849775,72.41082669339062
350000,87.81229079699193,89.46703274017575
400000,88.94517056065935,73.44006385464958
450000,86.53753959436904,66.10740152569542
500000,58.589362134613395,38.233936203251616
550000,54.4718103715216,39.21555772662077
600000,48.42467792149367,24.096165246755877
650000,48.76465343561613,38.46419758328295
700000,58.28156560239433,39.65518617648281
750000,72.83239136670636,46.70645458847893
800000,78.0921827310931,43.16471155480567
850000,55.03380568374329,40.72023891949622
900000,65.97668038563886,32.35590705805151
950000,82.55291146046012,19.2784272923023
1000000,101.64667871253799,15.280052664724117
