Training Step,Steps,Reward
0,86.41499999999999,-415.38655710373985
50000,425.96,-162.2232059634327
100000,466.0866666666666,-56.464738341983946
150000,575.8416666666666,132.1306328852924
200000,440.13333333333327,159.22857838430093
250000,352.22499999999997,180.5537353970384
300000,308.21666666666664,205.10727358871756
350000,312.37000000000006,215.18860585033607
400000,304.86833333333334,215.65005717358432
450000,295.64000000000004,221.26637251278643
500000,258.80833333333334,236.06213338219473
550000,252.24,246.4265508539958
600000,251.0683333333333,249.06413500669018
650000,245.3683333333333,254.94291963392962
700000,249.1733333333333,252.48403385578675
750000,231.9083333333333,255.83034269489607
800000,218.45166666666663,247.2622169021048
850000,201.26833333333332,253.34801508122655
900000,206.92333333333332,250.626890511595
950000,222.97,251.64536851385822
1000000,239.5716666666667,210.92038251078813
