Training Step,Steps,Reward
0,79.56500000000001,-416.56058576686394
50000,724.155,87.29992356718121
100000,503.765,185.33824289863074
150000,375.555,160.9700111460847
200000,346.70500000000004,146.50248117779051
250000,312.755,208.48626041484908
300000,293.455,226.1857358246269
350000,264.25,237.08489139806798
400000,261.995,228.31653769932814
450000,276.58000000000004,241.57812034381013
500000,245.88999999999996,240.15730324539473
550000,229.805,227.15201730702833
600000,256.6,243.74666455970578
650000,219.34500000000003,248.57903615865226
700000,275.74500000000006,253.5284548437718
750000,238.15499999999997,241.17687792444136
800000,210.74499999999998,259.9552652638787
850000,238.33,245.68968885982667
900000,248.945,242.92375673676557
950000,257.225,238.262361414735
1000000,230.09499999999997,162.61484562209202
