Training Step,Reward,Value Error
25000,3842.644170815788,38973.986621335614
50000,2491.972398871664,57882.78564724354
75000,1766.655605783286,46275.50589020407
100000,554.6532988035966,51776.67047723698
125000,377.89784781399004,58723.338600530755
150000,422.22375734007215,94326.2835095309
175000,487.94514256280627,92827.81350371467
200000,670.7215908577975,74477.70592356489
225000,1000.8864024364608,50613.25018267616
250000,1712.7202283634833,42701.85891058313
275000,2076.6292144564063,48835.20527544
300000,2139.5329170399414,189769.96956814927
325000,2164.383547067353,580582.0384243694
350000,2394.8144087060605,595916.4585989505
375000,2782.589463314193,459462.30672615854
400000,2243.834960105435,97064.56144766789
425000,1963.9860358653898,96669.73011080587
450000,1845.8915900496088,135745.36452853805
475000,2115.0001750540505,227885.3961718066
500000,1870.4604342498012,511743.9335873945
525000,1545.0502534156303,478861.5420263365
550000,1771.9587660708728,382582.312915725
575000,2243.107252648255,104683.16296160586
600000,2713.0298800499354,166305.75488529447
625000,2368.068474903468,958712.5202379074
650000,1898.3894632880786,1542489.6350441587
675000,1433.425779146068,1486382.381176321
700000,1877.636701999194,688704.745405492
725000,1822.9491009259218,162087.4617467251
750000,1706.5087066915912,150544.25737207988
775000,1086.176581048142,258837.1106823103
800000,1596.6903412578915,188534.08457344922
825000,2497.889507581625,209689.7320841752
850000,2697.8145303472875,129247.56681435555
875000,2748.258524690813,165628.17603675873
900000,2584.057831696859,145987.24334920905
925000,3348.606018803592,142576.8140724379
950000,3337.3950271810913,114210.12926555268
975000,2982.1310930407485,114518.69000488124
1000000,2343.27646333813,74386.71658251694
