Training Step,Reward,Value Error
25000,-25780.88477572351,885997.2882287409
50000,-13829.415700499665,747484.178092131
75000,-9057.643091643096,590620.3360323827
100000,119.07333962461546,380934.027437062
125000,1572.2103532735443,233319.98423187633
150000,2371.818256029513,208046.3662734728
175000,3234.755256864463,227352.49480373156
200000,4549.381421734135,330694.12231113366
225000,6235.101595022631,449266.9722606722
250000,7920.109973591253,511127.4459538585
275000,9240.236901718416,482129.9812414152
300000,10626.60425158468,439602.76622440224
325000,11672.885819799621,438631.3996014395
350000,12323.224270026496,491939.2924786459
375000,12639.421437210543,567415.7011003825
400000,12700.764080984407,605576.6884289053
425000,13074.823103032237,586809.9138039602
450000,13297.384090557103,532574.544230545
475000,14077.796104890751,486062.00256298325
500000,14725.936262610405,472497.7326239855
525000,14612.339951892971,462140.34463163227
550000,13729.583471271217,500680.44164114335
575000,12634.49115747971,490522.8117341744
600000,12418.616924590146,500162.2082479466
625000,13081.203213588762,453138.7888533971
650000,13775.95221732757,474959.4011429849
675000,14508.881579046043,466164.9022935631
700000,14332.88523054881,499509.2818346149
725000,14418.121287910399,498974.17996113654
750000,13589.99364368924,485306.29700195283
775000,13434.607436024451,486027.02977488097
800000,13286.565647030584,561301.1083294213
825000,14174.248392004432,615686.0974254004
850000,14705.626766961286,629259.0700754293
875000,14508.865510955931,592612.9878368148
900000,14250.726682242263,584475.5165182456
925000,14173.026060083896,595628.9387898906
950000,14677.95913816009,567091.9357825288
975000,14605.900535402974,724191.7663772375
1000000,14468.148411414973,1555185.5896510808
