Training Step,Steps,Reward
0,87.28,-563.936749722082
50000,884.6299999999999,-24.478874032979263
100000,672.8199999999999,124.77711138392756
150000,551.225,129.90238021086878
200000,488.675,136.434566251181
250000,451.7950000000001,164.86005583926064
300000,390.13,190.32172622777847
350000,522.72,160.86747321405568
400000,487.01500000000004,162.04940505671794
450000,433.745,159.554155799653
500000,388.295,179.65415191832608
550000,499.2900000000001,141.056447652901
600000,439.95500000000004,192.86095136435836
650000,483.18,183.7226094258521
700000,410.485,185.80567955747486
750000,391.91999999999996,172.15457917336312
800000,367.85499999999996,183.50235260263474
850000,393.255,157.36821137282607
900000,326.32,164.8022424904003
950000,391.43,179.65271235177352
1000000,334.90999999999997,162.88440771410268
