Training Step,Steps,Reward
0,90.23,-627.5916031445794
50000,482.88250000000005,-316.5941323114093
100000,560.1466666666666,-171.79921627709635
150000,713.6933333333333,67.56830241962138
200000,581.3566666666667,119.62873134278398
250000,513.9216666666667,132.06125647058397
300000,474.5,166.07943695781117
350000,463.58500000000004,168.69072195671927
400000,438.3233333333333,176.15184423680577
450000,417.205,166.08220279326034
500000,390.83500000000004,175.09902629940476
550000,408.6366666666667,170.47202812990542
600000,443.72333333333336,182.7722968168056
650000,471.605,184.6693829253446
700000,450.9316666666667,192.96297635144788
750000,402.23,181.78269927209783
800000,380.1983333333333,180.53598235413713
850000,351.2283333333333,174.43014958849312
900000,367.41333333333336,180.419527679791
950000,365.2633333333333,175.58546031242622
1000000,358.8116666666667,179.81698739416348
