Training Step,Steps,Reward
0,26.292805099494426,205.58188563857
50000,169.1288488845117,72.66162120676223
100000,161.09005400706772,87.9932326860027
150000,224.09499219081178,67.59626336638067
200000,108.86184777046549,59.77034930702595
250000,136.25690156832422,37.09744806016879
300000,151.87951606454374,87.90334006635635
350000,83.57846328450889,42.33490833612648
400000,83.31611623809646,28.50660220285353
450000,164.04495946233766,54.77512760557168
500000,157.00704450756342,64.01278388882695
550000,205.8389237364984,81.14187770651496
600000,84.32318320011406,31.692239704151078
650000,57.159849544938446,54.111805275639924
700000,53.1772669944592,58.72285797353253
750000,92.13418529514439,60.22422618718574
800000,125.66965663993834,44.8551644624121
850000,117.15920535749636,40.607095022830734
900000,153.16971502225888,47.04305203018094
950000,82.24646253791101,42.46793760649453
1000000,56.48408647574997,20.736318113003787
