Training Step,Steps,Reward
0,116.79166666666667,-438.92582295248627
50000,498.23333333333335,-258.29777974968
100000,590.9611111111111,-154.92970281083345
150000,683.3111111111111,30.310967709489017
200000,515.3277777777778,104.88375182150226
250000,384.9166666666667,111.6558695729497
300000,369.34444444444443,113.77741873386454
350000,351.1027777777778,81.81981676557268
400000,279.1666666666667,64.88234367414167
450000,249.475,48.36484050713718
500000,230.82777777777778,36.156580608900235
550000,276.7916666666667,41.27381049797572
600000,284.40555555555557,8.67296108210696
650000,309.125,52.903029749342494
700000,284.8,48.614409412869
750000,288.66388888888895,71.93682236028974
800000,255.78611111111115,28.15570496183135
850000,258.1138888888889,12.84913945176564
900000,249.6472222222222,11.364621617606788
950000,237.97777777777776,-4.410823981204203
1000000,236.92222222222222,14.400902645580599
