Training Step,Steps,Reward
0,73.89500000000001,-413.0354639500275
50000,785.845,44.06504477256378
100000,493.35,182.80179688819916
150000,417.485,181.76551330803528
200000,406.4,205.72034008689405
250000,381.23999999999995,219.37983229853575
300000,292.06500000000005,218.59472636215008
350000,325.43,216.46147356884552
400000,295.26000000000005,239.64280078837615
450000,282.325,262.8464976221479
500000,273.06,253.95051943523586
550000,272.835,242.2650774234151
600000,272.15,226.99854148545214
650000,215.35999999999999,259.1010947531947
700000,238.94,217.05431046505473
750000,277.85499999999996,243.91621593182836
800000,240.45,248.8808930241412
850000,286.615,255.7430958461288
900000,326.275,238.36078538003463
950000,260.0,236.92220846054624
1000000,264.81,244.12469834052249
