Training Step,Reward,Value Error
25000,-21283.538074648237,775491.616286651
50000,-4035.7927102721706,1102742.1024309043
75000,-7448.36951367046,7845890.523425107
100000,-25257.645954028216,45659498.81431499
125000,-49361.416130766,19133160.188751467
150000,-78381.78330033284,14130360.979628762
175000,-61178.232498520825,7728649.794812667
200000,-42801.97109928261,8773134.388947967
225000,-46426.67265471582,28275386.07126326
250000,-57598.39115880236,187908517.0348484
275000,-65676.85802782989,276275263.48867655
300000,-61097.27953615986,130198757.43443382
325000,-46465.08612632424,67054234.17654312
350000,-36165.64824478312,126826258.44552648
375000,-50915.94762383576,288533907.9649199
400000,-44296.143906499514,782105084.2403882
425000,-48742.42417021253,1403011597.0513165
450000,-29398.688196554336,186070639.36279804
475000,-24623.508962971853,27026849.880416423
500000,-28871.06723927824,25783872.737120055
525000,-42051.261161657196,36823721.278516725
550000,-60619.44194566707,18505886.715405498
575000,-46922.82948944942,8911778.921863653
600000,-48435.170171425605,15545430.973760799
625000,-79312.20252751811,35835280.64806505
650000,-66146.26077317914,34419112.95767879
675000,-67274.76337578832,29905853.77042549
700000,-77730.02106104798,25897059.89516334
725000,-48862.307332009266,28309243.127157222
750000,-44561.340232382056,32428825.620050184
775000,-61164.91842266176,38678445.82299675
800000,-61658.43497404673,22694304.839768004
825000,-54891.20186500102,40139099.598535806
850000,-59270.17886436007,127513777.91072194
875000,-57011.608195701716,95105157.71656077
900000,-65946.52733316344,42526209.681881696
925000,-65650.43801343854,52983899.023047216
950000,-53470.9651777343,24934474.59226219
975000,-51821.880423111856,23088616.360858195
1000000,-48983.56635513554,33547294.798497178
