Training Step,Reward,Value Error
25000,-38666.73062304131,1362484.7527939796
50000,-7195.70573127368,801312.6349387765
75000,-4798.650753183423,402163.51110676525
100000,-4428.419731870835,370748.5283320427
125000,-2598.81248551214,393914.0603865981
150000,-1324.2192563879348,309240.30700451136
175000,-784.0660143968249,218489.3617964983
200000,-1491.014780034619,262872.5141744733
225000,-1357.9645215989851,475022.3126537457
250000,-1109.0438832264422,472877.4310245484
275000,-1102.5651680082544,411854.4470813632
300000,-1376.2501560817577,394797.75195864885
325000,-1849.7955443881824,679235.0662112326
350000,-2056.9807135825104,1026410.1755394787
375000,-2144.418912073653,416143.78584243805
400000,-4299.202891822264,759945.7697169542
425000,-2404.2209300362797,884230.1901310697
450000,-1479.0743276616256,719978.6592515871
475000,-1603.3787897465031,1251862.3178428723
500000,-2676.751988495714,3792531.977371104
525000,-3186.9890599589853,1798397.654113382
550000,-3955.9522580100506,709800.3920636848
575000,-3352.283634272052,374226.1892401427
600000,-3615.81994423789,622004.3081573397
625000,-2706.629537772972,964273.86978665
650000,-3649.207787886732,1660414.4614273089
675000,-3643.6608381995015,3898129.61053658
700000,-2994.0318290269192,788506.1807491913
725000,-3776.4187346694353,1976114.6684994355
750000,-7013.393627227031,1486891.529127167
775000,-3683.6065291151513,973868.5364963592
800000,-3640.043602708852,567230.9155436754
825000,-3236.4983669649214,502559.0860206246
850000,-3577.7037105200557,424449.03387693164
875000,-3004.756963920333,529510.8673150704
900000,-3494.5912076552427,489663.95106268825
925000,-5757.422528529991,945900.3853327886
950000,-4115.003458971494,1085187.032216148
975000,-3757.6111974621163,234947.3814174369
1000000,-4465.2813714283375,262001.1567192152
