Training Step,Reward,Value Error
25000,3013.8593175611886,123001.21294328224
50000,2124.9899500191295,102477.88062000253
75000,1625.8392057677374,101484.99328169863
100000,776.7203562842968,77811.2279715117
125000,638.3473832726892,99066.60284915166
150000,608.1598749883481,179166.9569672014
175000,872.6943315696699,199312.2989294651
200000,1213.2984297862167,218609.5774138942
225000,2199.8795574697565,395337.9612831013
250000,3681.418189298951,547080.0245815851
275000,4198.2734159123565,576289.9814994967
300000,3964.001657758384,785725.1543542175
325000,2704.2036221543644,2247809.4529849673
350000,2671.9634425901872,2328974.3352571717
375000,2487.7808199779747,2021704.0027919924
400000,2893.602606740839,2600196.403720865
425000,2901.5889328182834,5572623.972704343
450000,3236.7119133152787,5422559.891718048
475000,3408.6487894241823,4246241.024266803
500000,3291.399455912893,3649063.5863999724
525000,4267.285383136764,3637814.056572314
550000,5443.116740395594,2803219.620677648
575000,6053.049992655254,1026321.5466619092
600000,5690.891016819912,1298240.0775472452
625000,5776.7458135959905,1357738.0081390184
650000,6644.204890665654,3628083.686782922
675000,7144.658673188461,9622048.47988606
700000,7231.447787626946,9716868.33693029
725000,8147.55429773219,36211575.01797569
750000,9373.976760817442,59296861.21190665
775000,12217.998574309691,59813242.03071239
800000,11894.844147213758,30385073.24815741
825000,10323.241055692562,1600007.4155726973
850000,6283.893943135292,1440022.5924288433
875000,11720.501576184584,14413866.117556902
900000,31436.58692649094,19660611.42928623
925000,45260.64121765756,19373541.81990664
950000,49172.285004242345,8294373.360418968
975000,42315.630755058875,25839879.89001142
1000000,41053.453933568795,39378533.37563974
