Training Step,Reward,Value Error
25000,-24667.14209625278,580977.9991326774
50000,-1176.9659309247647,365867.38217250694
75000,569.9328023884235,291722.5730850516
100000,717.7862349853228,217666.14576999474
125000,2440.660629229234,233318.17308020568
150000,2907.365301098946,219116.3361432338
175000,2668.7186496920167,343647.55708072707
200000,6943.4631140642205,357636.05208039505
225000,15108.725532246872,426071.7654748671
250000,20432.238343311357,581416.5293146744
275000,22022.063152884788,592105.3046413661
300000,21322.77176624069,484176.0245982417
325000,22932.64814719117,374098.2879562669
350000,24104.96846006622,331467.4469562478
375000,25574.03720249889,711305.7691380986
400000,26503.51147822589,668081.1744090478
425000,23395.640050219434,1005262.6054718894
450000,28876.630791296433,240387.19276412294
475000,23852.345212046992,189415.3253956865
500000,27018.42118904857,221140.11733875674
525000,28136.56500952137,369670.3434242005
550000,33012.48432468711,355902.06984346936
575000,29890.379416427564,260670.41610240832
600000,30075.423493329952,307562.1676486728
625000,29139.4440297872,389435.2797005572
650000,29186.61108376703,328009.19088024064
675000,31836.60420405998,283729.63468265557
700000,25292.26419108278,336689.2028630265
725000,30805.32611088772,315905.4650492765
750000,33869.07386339207,248858.64514305315
775000,33438.70657273733,267759.00199881155
800000,28980.151236776368,263376.2621582641
825000,26235.78163860369,580805.0808151154
850000,30267.691902940653,509942.6099896459
875000,32085.560428296565,211437.99141051355
900000,32427.444555978294,268109.1778397856
925000,15815.616100949503,598209.7204912574
950000,-4519.972258425707,7478528.039286954
975000,21194.242477962805,1246421.175210234
1000000,25410.688190070374,529764.5137126847
