Training Step,Reward,Value Error
25000,-18065.608754166857,728695.3457538566
50000,-9870.896194638794,610037.021118187
75000,-6427.960744335366,545728.8553881083
100000,-43.90407048218989,446547.9992136346
125000,907.057600351844,497155.2530249607
150000,1250.8064522067418,564592.7786822277
175000,658.7295565252379,649395.0997336246
200000,-416.1554630866885,973240.2650134312
225000,-2258.37703438386,1427240.5781398404
250000,-1260.749862159697,2119557.936071463
275000,2009.5508368547041,2090218.8478161823
300000,6769.796567436613,2161679.476886751
325000,8622.8342154091,1698927.6702927228
350000,10309.70252582856,1433913.5418060205
375000,11725.469915488442,842043.9126157876
400000,13521.697740236903,701112.1547347438
425000,12347.8179398738,792266.9675215398
450000,7542.7965362808345,1136063.1596228746
475000,5606.240195769836,1585737.0506720496
500000,4758.534084320519,1927015.0886006411
525000,6608.930777786198,2538734.336816173
550000,5576.088934688493,2307985.4641645346
575000,2842.59570678628,2155253.760059551
600000,180.4386143490956,1737740.169222244
625000,-362.5963438663957,1681082.1984861412
650000,-418.5817025851479,1917889.9847799728
675000,-42.50187956674563,4920168.440329004
700000,-10485.004750911425,6154660.08973325
725000,-19058.37935776371,7083027.935559608
750000,-18603.457120037547,5613416.262001892
775000,-9585.837427833323,7903092.996889912
800000,-11390.94974346616,7955335.242616613
825000,-21183.643523534873,7443190.011975202
850000,-32475.540535702807,5572045.356851708
875000,-36984.29669072931,5704729.205680355
900000,-36347.50212685534,5427666.333806201
925000,-37658.27155016037,5707070.188004769
950000,-38914.057462870645,7020341.5523063615
975000,-51022.98697861379,10904051.762891958
1000000,-67092.73899171218,14816474.606901357
