Training Step,Steps,Reward
0,79.01,-493.5307088259709
50000,301.68499999999995,-190.60886787918423
100000,336.7833333333333,-92.92918583833584
150000,392.50666666666666,80.38755426609744
200000,284.71999999999997,18.541606843048687
250000,219.54666666666665,-26.49053698956868
300000,250.84333333333333,-30.348728526273145
350000,290.92333333333335,38.63857858932061
400000,287.21666666666664,52.36879528920935
450000,248.65,41.201913032570644
500000,229.2166666666667,13.811339986256263
550000,212.3066666666667,-2.7145470068477713
600000,218.14666666666673,-20.67475464735627
650000,191.73000000000002,-49.643425413765954
700000,194.07000000000002,-96.5177872216277
750000,217.96333333333337,-78.06160323099421
800000,226.07333333333335,-124.44434252834834
850000,220.61666666666667,-146.04519622284576
900000,207.11,-191.86185243041737
950000,201.41333333333333,-215.83225572117894
1000000,201.2266666666667,-226.5522600404814
