Training Step,Reward,Value Error
25000,-16368.683471926284,703134.6246097831
50000,-1476.2211193006556,242094.14003783208
75000,1001.2032120891532,238334.69121033952
100000,1443.0413802666492,265726.3548056564
125000,1146.72183408172,325412.6745926036
150000,582.2843363341026,572373.4077128653
175000,-4069.644395720914,1228916.873088725
200000,-1565.1865163313412,1507624.6270179797
225000,-18455.088008583814,3558759.717147333
250000,-4216.832063181602,4037894.1411999105
275000,2185.4950590701387,2832872.427101538
300000,8411.648901697901,8324648.818948291
325000,12955.941315556915,2786469.87896283
350000,20474.908123156783,190757.4948617514
375000,21205.719413119896,312040.1176322453
400000,16158.092038698522,1596662.5575114593
425000,13570.081541778598,985081.7438973578
450000,13632.858835430632,814351.803020737
475000,10468.329964923982,1710820.063658659
500000,2173.9757634486164,1168869.8217908265
525000,-6713.683885135817,3528169.2699614274
550000,-9496.092153517033,2640880.9632431683
575000,1258.589747794197,2213052.4243965214
600000,7508.015540650525,1185699.7340718878
625000,10281.60143015293,585997.3832048966
650000,729.5168408968424,4424989.925245956
675000,3402.565623201425,45884038.50641901
700000,6365.520185306222,10187301.030616613
725000,4771.185150749216,10856184.566754201
750000,3246.9205992942707,25947716.887623306
775000,8395.561837235453,52251807.06605924
800000,9576.182727373247,5979865.087121287
825000,-23456.5864995003,8297458.627512943
850000,-20434.111142937392,8793943.186123203
875000,-8371.958282388023,4413357.216382814
900000,-7258.518705136522,7995819.660381287
925000,-78842.14225055094,14617290.017661352
950000,-98571.14909249535,7265437.239940989
975000,-75112.4245209331,5216485.643168773
1000000,-40662.06749088782,2859540.3125626203
