Training Step,Reward,Value Error
25000,4649.186930552779,112953.57097102223
50000,630.8343656019564,106582.98410473575
75000,490.06897070567044,98040.43942924858
100000,716.5291447691675,74896.54695515985
125000,268.0663934042767,72940.02987291937
150000,676.5110264351795,74174.44817021632
175000,895.4370810392275,73936.09744771641
200000,1062.6350405920498,65253.08715446427
225000,1918.2691327821128,95143.86875869535
250000,2327.5165943413044,523100.87235571153
275000,2601.721210396488,231399.30063192343
300000,3295.88385775624,575931.3411390194
325000,3017.7300128723696,192390.42559537227
350000,4475.81846866038,255766.04525055122
375000,2262.9385855891132,93303.40975103632
400000,2385.007578707513,118835.26740689429
425000,2247.5071870437096,97327.76269737878
450000,3285.6411500365766,170889.33201314617
475000,2837.2039460412893,1010610.023020919
500000,2047.5889703642256,993482.3344763971
525000,3802.0403403168034,108579.57045711413
550000,2743.338729294524,203256.8503381474
575000,2675.321716284949,1924919.2092431474
600000,2154.4479087443674,2163360.1796109374
625000,2260.7665629933117,266317.25084539485
650000,4130.525405596009,1247260.2939302651
675000,2509.726798002884,782579.8155045245
700000,2520.3409549503654,626287.7581628801
725000,2091.6061086702643,507728.57961328217
750000,1675.5367600289094,177563.8132795784
775000,2271.938674428278,327579.8126103032
800000,2067.3736047840566,304551.85796441394
825000,1560.601587192567,4922362.442906741
850000,2756.686708473359,1752915.7996135554
875000,3536.723635607966,150452.52414668663
900000,3214.2603588560733,158617.45109371073
925000,3050.0826941833698,163262.3978082707
950000,3555.1971680864544,126266.99038805986
975000,3982.3294894336586,225267.68377790748
1000000,3669.702796575957,1171737.3925789325
