Training Step,Reward,Value Error
25000,-22856.43358552178,1187966.2354003193
50000,-1866.038622709268,628807.7979188641
75000,1136.7743468686092,267947.57268693333
100000,1452.5230342574757,265863.83709082566
125000,1185.9943732218396,344007.69193916227
150000,2331.3730455122795,202675.66277003233
175000,3737.3138329130747,220719.7341554666
200000,7151.525269149252,385786.3091873048
225000,7554.588477136186,386877.27670801675
250000,5895.153255029627,352883.3297511101
275000,7944.772882592593,312357.5330582974
300000,11224.747647917357,337310.40435618575
325000,7981.403297754416,351793.04323611665
350000,6936.043930453105,373049.38980738044
375000,6598.2258310799425,239117.02839475407
400000,9661.460838463354,367133.6228203306
425000,10071.07864472637,541669.9802709812
450000,15426.44788498363,551317.3407173846
475000,18196.40420120821,342408.3353046515
500000,17495.893910836672,408007.4787557123
525000,14735.412243921564,385972.19704248576
550000,15765.413081789926,287447.8737354266
575000,16530.50052656117,387017.7350021953
600000,15887.517571515285,770981.0617571195
625000,13988.300466609071,875087.4442793226
650000,12391.05237973678,994624.9648955744
675000,11725.27714900121,591494.7706725963
700000,7040.5596782276825,519798.408350298
725000,12387.136149012102,320843.65439722507
750000,15991.466983495473,282531.4188328739
775000,15021.428783800173,291061.1068284407
800000,15974.578717918122,372691.83630190854
825000,16275.771816505594,380980.17678605486
850000,14541.298241850192,438892.0396882066
875000,10833.633758908005,415751.07176199066
900000,9891.702341204864,258145.71970312027
925000,5805.149501995845,390595.3937150414
950000,7033.458167969555,746131.793469141
975000,3153.834616275008,472932.19593044627
1000000,6198.5157315109445,478314.01249153505
