Training Step,Reward,Value Error
25000,-22607.756089931376,877374.2499480493
50000,-12041.434106351113,694502.3299374062
75000,-7689.202234428177,538833.9062019082
100000,441.74228325951134,302525.6733486539
125000,1685.261148017608,177459.81797398106
150000,2438.445484427135,156581.17606237644
175000,3382.0197438762675,170628.13641868846
200000,5028.690900979769,215158.85376463682
225000,6729.058947647102,269111.01835244923
250000,9205.063986245606,330771.0444252948
275000,11174.484983117463,405220.9714121833
300000,13196.250326053976,477328.8061406718
325000,14440.378936789095,514972.9774190602
350000,15868.694796751488,559934.7434161748
375000,16506.13945754777,601413.364923826
400000,17153.426446362457,582973.584060606
425000,17306.220408146837,547637.7265655427
450000,18211.1051331023,525981.2373165303
475000,18025.090627962607,536849.6806385149
500000,17966.08069309412,472315.5674623154
525000,17032.683839305275,452029.4112591753
550000,16826.862033436588,529963.349942626
575000,17151.17837490145,616896.9347747794
600000,18494.173180408838,569686.9568765889
625000,19928.042598077587,455848.4721677198
650000,20657.560081814645,406064.5598580779
675000,21009.402578177727,463897.0150329576
700000,21397.92326005743,502169.6985477062
725000,21173.564226344315,521035.87442940444
750000,20550.64568132424,460660.16667690204
775000,19744.037822407383,417924.5917235639
800000,20063.71592970527,378813.1741433624
825000,20704.902128882568,387167.1760898982
850000,21496.6118851618,406168.79661960993
875000,21661.461539044096,444335.8956737824
900000,21949.16350254057,472513.02597736655
925000,21616.222853181924,494166.1735475203
950000,21365.34614734657,471445.15431504644
975000,20999.44170993795,425331.2252452723
1000000,21292.10588769992,404322.7325068104
