Training Step,Reward,Value Error
25000,-19356.842972813472,929688.2656354659
50000,-1026.333253949026,509143.4804125791
75000,914.6937710898367,192044.3703317273
100000,1407.2379663026545,151605.21706954893
125000,1784.2386341645988,106610.53161817239
150000,2994.5542204574303,131477.98605991626
175000,4400.443743789823,230619.5435968872
200000,3549.451614261386,193165.877023161
225000,4917.684160780277,175926.04769402227
250000,9899.493995742363,330776.20991436153
275000,10260.167693580932,1117816.0770625726
300000,19065.777363137404,1396989.6052809395
325000,15484.567513546675,511383.31611088285
350000,15204.58381614486,519057.6259372399
375000,7906.876503496647,415450.8539544936
400000,14513.853877502734,350040.46521345334
425000,15246.547665400733,319493.41718422755
450000,20054.759232156746,522379.95251557126
475000,20704.840467221038,539173.4733456572
500000,20058.910340041883,541555.3350241729
525000,12142.337534205813,922424.9333872653
550000,7795.3300729170705,1451871.5972908677
575000,11092.727710112018,641237.4148396028
600000,15383.888814482643,344319.97494176665
625000,17462.165383890988,265969.58066424733
650000,19904.269968774264,262103.35314250563
675000,18161.728235487128,228057.52261317972
700000,22396.021011206136,246273.15090968672
725000,21229.606880110106,689932.9255844355
750000,18056.516107896314,615851.297488885
775000,11261.043416476376,686088.7508309173
800000,9963.526164452867,368558.81761024345
825000,16945.865186298874,185404.16954228914
850000,14225.936096471918,235129.5291952738
875000,17025.63437732359,246839.1011205023
900000,13986.81830737892,293374.4210243234
925000,14790.48583903486,369536.6681971416
950000,10751.278123958955,331874.6794746893
975000,6992.366101834025,399829.4982830929
1000000,9204.898877656693,259946.33617645563
