Training Step,Steps,Reward
0,29.66100175314381,209.7522071648906
50000,49.583707203470716,135.0926336602097
100000,82.31828489055584,115.29921759426536
150000,130.31271015534776,232.07068925427248
200000,189.01774501315415,239.34150758106716
250000,181.83035401836767,264.63834708972655
300000,201.1687137202795,121.53162079719716
350000,163.97070234314683,146.52828306118445
400000,192.1024278920194,136.68450677969287
450000,165.6829507662886,122.40483240901932
500000,167.61017184730142,107.9937176602362
550000,163.2067158662993,128.09076298214697
600000,143.1459621709668,123.85332382956643
650000,140.8805422872541,153.01363975610633
700000,115.1562533922454,129.11733757825934
750000,133.23290100438783,142.07728094932565
800000,129.8749447116962,136.47914889794026
850000,116.5686816301061,151.8977250077788
900000,120.31580363740323,143.96864344914312
950000,116.14753415876392,121.10316938961357
1000000,132.60540360029373,92.04755503339611
