Training Step,Reward,Value Error
25000,4578.055638757407,109118.01800090418
50000,2772.9586301854106,91869.053372044
75000,2064.6851812141203,84724.87276579572
100000,615.9008416106125,62170.5167780568
125000,405.05822076997765,50052.227889085865
150000,404.54705355870504,46497.22120447378
175000,815.3190137004623,69693.14640880965
200000,1210.475049881599,82023.61300424628
225000,1923.3353463162612,132637.51728610208
250000,2340.9026719417607,130211.63134471525
275000,2964.7830710976195,137793.65540961418
300000,2947.211944667797,166697.23847011177
325000,3202.191114043133,174658.9262600117
350000,3131.8769604019194,181399.97056731745
375000,3495.178313607496,114292.26954733208
400000,3442.5707732827327,95247.16971268719
425000,3102.3713322049566,82228.36694937997
450000,2672.060924607859,86796.96109343944
475000,2373.3319094802823,103747.33584435919
500000,2411.24858416506,105620.42516525852
525000,2377.42829086693,138824.63121693287
550000,2490.972956259459,155924.94968727898
575000,2589.0435663899766,186097.88083685472
600000,2684.9980412856003,155166.78059462385
625000,2626.3256975983345,137230.25818466683
650000,2738.4878404466494,158596.18409606605
675000,3021.3468380924483,154515.0583908117
700000,3122.3772796288195,165887.94042680756
725000,3044.2529022189415,126050.03773779585
750000,2942.9376292188895,149526.14379813682
775000,3656.09879372156,183690.86553520523
800000,3988.55235366494,199324.28435086206
825000,3552.6117101820723,244808.397352341
850000,2988.1750131332797,429616.9041449024
875000,3300.102045583353,559062.02079333
900000,3204.0355204554617,475625.0981497607
925000,3335.672177251245,281100.66000278806
950000,2634.68872829973,193356.31007479518
975000,3026.806871815433,261805.45936678117
1000000,2847.882332402955,406193.88804412266
