Training Step,Steps,Reward
0,77.27000000000001,-491.48103686179155
50000,432.67750000000007,-227.09516408697255
100000,445.175,-83.76655940678931
150000,556.4366666666667,149.5080794768389
200000,421.77833333333336,196.03928912399192
250000,367.1433333333334,202.02347973202708
300000,329.57,215.44887381093778
350000,294.7616666666666,240.72997117631382
400000,287.44166666666666,244.8305855253159
450000,280.15333333333336,243.36262452500122
500000,287.24166666666673,243.13135433567285
550000,280.9166666666667,244.80861348553617
600000,272.62666666666667,243.0994552675386
650000,250.6016666666667,245.93148866279714
700000,247.87000000000003,246.3915872734248
750000,239.1816666666667,247.94660849710047
800000,258.3733333333334,243.16215048776522
850000,265.2866666666667,230.2697338714165
900000,263.39500000000004,229.8127478039747
950000,254.15833333333333,226.39855568438125
1000000,250.14666666666668,242.2391132135277
