Training Step,Reward,Value Error
25000,-34877.57852631293,1139621.541633233
50000,-4951.479699680673,480097.47731690673
75000,-6282.832248583221,574200.9115527138
100000,-1125.2419213845792,317561.8756759397
125000,-169.45818194788592,194002.22056174316
150000,1016.0271542662305,141568.1661623359
175000,2646.454615810371,269721.4411025701
200000,4963.387315426569,421890.05130271456
225000,10679.38079778306,481033.11225771403
250000,9521.946991570401,505833.81025443523
275000,2564.66761405289,540426.5652904463
300000,-3976.385899340672,1505992.946155712
325000,1100.0349707994326,851925.2105725921
350000,152.50289385588744,191104.29920682876
375000,2591.1603282038936,172129.75874049656
400000,2528.2123572193905,162226.0126176174
425000,3984.525963142847,252744.42791019782
450000,5800.770432330657,300909.54072123615
475000,7302.157997544793,448034.8343780036
500000,-15920.841179065137,1127201.751580889
525000,-812.0754809509656,5183782.0099909315
550000,-1267.0962545448006,1796036.0423510666
575000,-3936.0644075278324,1850481.0816019943
600000,-3267.0666658049495,2007158.5287551554
625000,-4023.3751562621324,1176872.7149720634
650000,433.88800084364277,918555.7473409087
675000,434.6530336531209,118653.5972014309
700000,1538.7102176064418,278403.8706518653
725000,-1208.6854258379155,236028.54531486062
750000,-3004.899932252659,627707.3921738513
775000,-1121.4262489319442,263267.6862613905
800000,-674.4318465575795,114282.55499553728
825000,-680.2929593510825,245648.4305159799
850000,-1857.503451932223,213598.89249632374
875000,-2601.590519487119,437057.5464526771
900000,-1732.65295999838,675204.8325011282
925000,-2004.463696778225,413356.0534289614
950000,-4036.110906723258,723182.9895205946
975000,-9010.789572799067,756450.831795792
1000000,-5482.480396695345,720737.6331273807
