Training Step,Steps,Reward
0,26.82103593730115,292.4834670478821
50000,84.35310121163306,195.83834066294872
100000,110.67915937769818,167.7950709180585
150000,132.89931813514258,93.96884172832422
200000,133.77701510281716,119.84160468493376
250000,105.8891027583291,149.27235361723146
300000,119.10399911700426,197.0891482407748
350000,107.22687956969087,172.4467510604411
400000,122.73656154957835,156.5139895428611
450000,95.32180336761077,129.72532551761617
500000,86.11630902002848,145.76703219486419
550000,85.19946193976399,125.9919628799763
600000,101.37659055421979,98.90036362302799
650000,115.52751583299671,53.39101585954981
700000,107.04999723867547,69.26497932178381
750000,127.42312999134208,115.12086713894716
800000,136.64136836472483,181.18177646472316
850000,150.59175452213748,176.84981875240283
900000,128.25185773635633,141.55268746622053
950000,135.82154910742273,144.5254356028917
1000000,121.24625469638306,148.1879488845635
