Training Step,Reward,Value Error
25000,1008.1697660462651,49435.80211411807
50000,765.0312617063452,101928.39175447849
75000,796.9015310003158,11733.87750846611
100000,3571.2693984164366,223237.67243212898
125000,5505.140083928268,1460457.7171219292
150000,32088.955164281928,5841018.936448227
175000,57493.11923833294,1896311.498504119
200000,39739.08454477383,115701479.67389897
225000,76866.70741859509,139322049.36918664
250000,66481.81915100197,37256784.822584756
275000,46272.45886672983,18118504.00444084
300000,62638.954416093715,367005643.7998584
325000,69595.23300078702,898707814.4694885
350000,43117.46043776176,610559745.1690248
375000,59851.89803082755,524511348.77797395
400000,79711.0296460612,1328629949.8081238
425000,69558.0581229434,1246545426.490112
450000,81789.15646611834,542544233.6498339
475000,85788.35731238543,424435572.2646154
500000,73706.95989018469,292992192.00691056
525000,74615.47117568106,168579022.19340977
550000,70280.48178751365,105028167.91350551
575000,53765.33103000208,21447438.471424635
600000,39846.32648086609,48145340.053231254
625000,76846.44577291574,322595440.52320135
650000,61000.696075789005,311493205.2726742
675000,54142.17872488333,784957628.6805755
700000,54806.79013624535,882326782.3216131
725000,64368.38397869886,496600797.5846729
750000,84331.72521642207,651239204.1989104
775000,79320.60157749102,471830658.58142024
800000,63885.735539945956,420975626.5680683
825000,38450.026505776674,92992877.28399315
850000,47123.79333837383,98574741.155732
875000,39383.15880487081,161511534.60589623
900000,40167.00105969369,225356163.7160822
925000,59337.79331824851,176601889.33316123
950000,1946.742456063952,48964699.4217637
975000,18870.079653806893,99834685.81012799
1000000,44532.77563973144,498063692.3900095
