Training Step,Reward,Value Error
25000,7617.136035787975,234530.40536449553
50000,4429.364503071194,313392.1517592336
75000,3199.654468767985,251138.9796034808
100000,855.1608359511906,209638.3906415213
125000,629.673036294179,140772.13604524545
150000,587.1145368408644,146035.5207004737
175000,835.4110491551425,151500.9616188318
200000,1512.6272645704887,109645.72589875401
225000,2248.661801349627,98758.82089404717
250000,3051.4825021496713,102991.57435722642
275000,3681.4280189720507,132838.0304852985
300000,4353.094789491512,649022.8691321061
325000,4602.803431243686,685816.612245809
350000,4614.548715302356,1033925.9267371142
375000,5100.486527820114,861038.62077724
400000,5322.639793829097,825878.4975465451
425000,6080.84662328992,550178.1050758287
450000,6159.201767871532,281150.4890327061
475000,6631.738636411575,495670.1520924634
500000,6389.314929164735,861293.1067602331
525000,6552.071448523264,797689.4653794275
550000,6530.783424153931,584453.5698927037
575000,6572.993859774764,132975.62238812947
600000,5911.635813291909,216527.85156394495
625000,6370.6438793641255,289911.4911335052
650000,6806.987299521411,430766.2499527506
675000,7965.564742110927,623550.6815382784
700000,7883.70067088406,561675.4088962747
725000,8117.41091900333,452833.0723861526
750000,7620.161896095462,192136.6291866769
775000,7678.203761524393,207601.85266230846
800000,7795.363646642297,324240.0152859282
825000,7739.974534465771,871303.2546671607
850000,7403.274458356017,895882.440221602
875000,6622.22549585817,787377.7502596144
900000,6183.1858347370535,263912.3811518193
925000,6138.508472244682,273725.0980062838
950000,6075.468607773792,297812.86436129967
975000,6087.770445594979,449581.4463939119
1000000,6024.2160002572045,493825.2604249542
