Training Step,Reward,Value Error
25000,-36871.57460452021,1154287.154053092
50000,-4771.560962000707,979909.614180088
75000,-9.903864189721075,306878.97701752186
100000,609.6793419684402,316101.85029149055
125000,2655.904663550444,173135.77777838707
150000,2895.627103019971,142251.32657378912
175000,3695.9993755299797,142433.2005993724
200000,8882.841870424796,254409.43409574032
225000,9207.62405446058,565034.6064982712
250000,9090.883444121459,719510.5010853708
275000,10510.781590847868,485330.482565701
300000,3838.740423299246,388800.67314633727
325000,1909.4795482240756,270052.894169569
350000,5144.05611124535,171265.59848222136
375000,8647.282223062888,245113.9390848577
400000,7447.623544083646,364933.5307660401
425000,8151.766471497854,346168.0623612404
450000,8473.96838407525,376635.8772420585
475000,8638.552302511169,355317.1345086098
500000,8901.641650157108,420882.64888361096
525000,6243.667465897723,404855.1959016323
550000,9056.779788538799,358264.0861028135
575000,8046.42975602249,566258.5177664757
600000,6771.252962851121,1121606.9966104627
625000,-6557.062285425176,1304100.6756899357
650000,11324.154380831384,1620095.3642579317
675000,11497.012800915756,349867.2318368554
700000,11477.742391023648,238551.277810812
725000,9002.666498643948,333325.4750812948
750000,11487.056960680637,425900.5137041807
775000,11480.953602431537,463045.42720225453
800000,4611.0823483125505,758089.2440313101
825000,10043.87643220133,661229.9596476555
850000,11578.194556922852,373219.4328637123
875000,12102.279758161032,382368.51187089086
900000,12411.594587417034,434735.96793848276
925000,10326.545444403733,1014655.4101983309
950000,15272.043641153747,1163457.0170229673
975000,14482.449489335302,822473.7237722278
1000000,7922.0131272323815,594068.4538947344
