Training Step,Reward,Value Error
25000,7230.8348669962115,171111.65544581425
50000,1901.522779399358,191260.22599046415
75000,1051.3918165134742,71788.10844391337
100000,682.4440285019441,48828.36004105397
125000,531.6787053951208,51906.37742668436
150000,777.6618408181497,82945.57077597834
175000,1291.19627747285,54148.41474062339
200000,2721.769431374664,49679.18492105008
225000,3007.3098954259613,133975.2826000292
250000,3596.2269530830554,317723.12675362127
275000,4396.37764912672,175134.4847933013
300000,5696.086221473501,147793.68625153095
325000,4742.237044909221,200812.96287247477
350000,4556.06392310115,483240.4854177669
375000,4049.9706456635477,248194.10449274527
400000,3642.580063869304,183927.26796818702
425000,4356.826419814472,716264.2663821328
450000,5921.735789188702,3385637.746032007
475000,6813.558458252238,1019330.7308635125
500000,7285.232643136074,8142528.7843197165
525000,5401.834829783357,2549353.731288873
550000,5985.9343020394845,475894.59093693655
575000,6600.372255070614,3195577.180006595
600000,7501.418148378397,400898.44703600573
625000,7863.769223737564,1515323.1378117292
650000,7079.390733489465,989874.5308638323
675000,7359.627330848834,658913.8134880366
700000,7517.865003610322,752367.7167355479
725000,7205.837966923207,1906246.3575199146
750000,5833.4258889518205,1079196.2833813184
775000,5562.866063993321,1179495.738809585
800000,6500.108645866102,259591.8089829814
825000,6453.67900663469,2305878.630143516
850000,7101.8624548676735,369254.0536341439
875000,6603.400255311755,275672.4402557451
900000,6547.205848418115,427304.5453266173
925000,7356.78928081057,287751.5432319184
950000,6535.01097882607,826982.5869092959
975000,6716.37572540734,4273977.178752089
1000000,7204.450912718269,2252106.5739689893
