Training Step,Steps,Reward
0,82.41999999999999,-398.4539844511547
50000,892.275,-46.88063920184852
100000,760.365,59.776587864520664
150000,713.19,110.05778923415426
200000,541.8549999999999,136.11577484890591
250000,468.675,170.33615516605593
300000,556.9300000000001,167.47910964010026
350000,500.78000000000003,128.22658340782542
400000,504.15500000000003,131.11646488937558
450000,519.385,170.36973053984892
500000,444.6499999999999,156.60151780290047
550000,431.98999999999995,152.65815072836932
600000,450.265,157.42589503121548
650000,456.9750000000001,178.8003250278034
700000,434.4,144.46513385345793
750000,405.9700000000001,134.99074104063283
800000,509.0050000000001,156.06195962308783
850000,477.61,139.19020689514105
900000,556.52,141.69882829778487
950000,464.645,143.06907719618835
1000000,370.01999999999987,173.56007999274726
