Training Step,Steps,Reward
0,74.195,-498.81318890758814
50000,436.30999999999995,-271.1726971241803
100000,542.3933333333333,-159.55854874170078
150000,753.9316666666667,49.17916612239022
200000,660.7566666666667,109.0733859338513
250000,560.4833333333335,152.04976723550337
300000,508.72666666666674,165.02601871376424
350000,511.8883333333333,168.86735904970163
400000,529.235,149.32664556451982
450000,505.6850000000001,155.2475456993204
500000,485.3166666666668,162.8867083471587
550000,459.63333333333344,167.09235797571816
600000,442.0566666666667,164.42595525343214
650000,422.36500000000007,164.90561667715124
700000,433.49166666666673,164.2618921876533
750000,420.5583333333334,157.0885695704287
800000,439.37166666666667,154.69975054510022
850000,435.79833333333335,155.59160584472727
900000,449.24333333333334,147.55703897241924
950000,426.4700000000001,151.25922529080552
1000000,414.9216666666667,149.16103035735105
