Training Step,Steps,Reward
0,81.31499999999998,-427.22153731536935
50000,908.8399999999999,-32.14061085986109
100000,694.3199999999999,131.19169142487542
150000,496.82,192.5591871180003
200000,429.58500000000004,197.9945521335022
250000,406.17500000000007,207.76140763997583
300000,411.215,197.5122864526916
350000,298.60499999999996,228.95114468459778
400000,302.86499999999995,200.62339541318826
450000,279.39500000000004,245.01374475917146
500000,379.61500000000007,208.5440315395535
550000,304.615,212.8954705125305
600000,308.41499999999996,209.2639721673466
650000,283.04499999999996,245.39516297213186
700000,313.4,220.69899997075885
750000,252.84,211.40098881273698
800000,284.41499999999996,243.00154768324052
850000,283.02000000000004,248.8618347638813
900000,273.85,243.59251822005703
950000,324.46,171.3334502020562
1000000,345.33,231.1252759409415
