Training Step,Reward,Value Error
25000,-17892.620471149905,1023693.4866976738
50000,-1572.233743261734,988655.341476202
75000,510.94215243456784,367285.4394081831
100000,2003.9015856018032,385233.16805171967
125000,2925.1544947652897,225257.05061012506
150000,4081.3600508397785,212398.94097074866
175000,7050.553593795536,268397.659552902
200000,9062.181601633683,496795.840052858
225000,8996.931119083773,642365.8621377349
250000,14768.793194493874,647110.6257915497
275000,17816.025953483717,484298.19304952025
300000,23220.81843854217,750838.1953362226
325000,19796.37110252955,610908.0834857523
350000,18690.02025348165,615461.170214206
375000,21568.633912691013,703831.7472989261
400000,18418.776466559946,475796.56489244103
425000,21679.904230245003,456505.0273273587
450000,25441.39304550454,326986.3969091475
475000,22259.623214857336,471872.4496680051
500000,28871.829888319768,868900.2934384048
525000,26679.754854448343,532913.9601465762
550000,25269.034561359673,419189.1009423137
575000,25996.35405191839,430792.32795384526
600000,28886.91310513776,514282.49527540803
625000,27628.94214379543,497251.4177649319
650000,23085.22490631314,495155.7044183612
675000,25203.04715054387,373126.80426618457
700000,26793.070270057393,505905.1961300522
725000,26633.275117014808,629498.2139180005
750000,25637.899838103025,592210.1248091161
775000,29290.10162152024,480917.8733044565
800000,30500.961539590673,380879.56111723185
825000,30075.99971196685,376642.62685501575
850000,27888.785233821116,330924.4505662024
875000,29259.637347822892,489455.0111736357
900000,29414.031298189693,1376187.0842548907
925000,30014.638649899465,1178914.0742511451
950000,27895.594150753535,585700.2728537619
975000,29961.255332369066,431853.9668056667
1000000,29833.190526166338,516762.40251874924
