Training Step,Steps,Reward
0,79.14,-536.4084623355544
50000,473.4525,-286.0157087379695
100000,537.6066666666667,-153.98354132066606
150000,688.8299999999999,67.06667340561852
200000,578.9433333333333,134.9356087380261
250000,516.0616666666666,164.22414835756982
300000,445.0333333333333,192.31219771868726
350000,374.74166666666673,209.98248934361584
400000,321.45166666666665,221.98570284145725
450000,330.5066666666667,216.91687984834854
500000,316.675,219.70548250644717
550000,303.31166666666667,218.04137704548702
600000,297.6566666666667,229.02551024076297
650000,288.24666666666667,233.04718712278486
700000,295.26666666666665,229.84406829745956
750000,274.2683333333334,230.36527895243867
800000,289.6533333333333,231.6023149073861
850000,285.0283333333333,231.77930994831175
900000,283.395,236.6075375229078
950000,272.63666666666666,230.76557498668728
1000000,275.48999999999995,236.12512781422888
