Training Step,Steps,Reward
0,22.348635864410156,232.25268720600707
50000,135.49518155639333,44.6757952947953
100000,178.90921580511164,109.98390660192973
150000,233.6591430374596,85.69843383278968
200000,174.70268715735313,61.24994106511193
250000,167.04502656469597,37.257449382216
300000,78.58004024559926,33.83365995474135
350000,143.05106684327802,32.19519390219616
400000,63.61264889941309,21.458510500668257
450000,100.56201022254874,48.113218005977444
500000,74.45875452221856,27.54481890061329
550000,74.1401571349832,35.63389226936922
600000,146.6485352807862,29.873499976130674
650000,97.44526219883653,24.313924287863227
700000,151.94191694525904,38.59591881142423
750000,39.333530225495906,34.958891019213624
800000,163.7278904921211,24.462233661932128
850000,161.24382383520924,33.856349475070274
900000,100.12307239093295,38.55397912143947
950000,115.85633992147342,31.67409138226488
1000000,195.14758831458818,40.87381752412984
