Training Step,Steps,Reward
0,81.95,-448.5151162776642
50000,759.02,77.68193608082936
100000,511.5450000000001,143.76291382664687
150000,355.47999999999996,172.3641676385601
200000,327.31499999999994,196.23120038826892
250000,296.18999999999994,223.3176348976312
300000,232.205,227.43275318820747
350000,247.06,214.29812679390974
400000,243.87999999999997,258.0129386418818
450000,222.06499999999997,246.34893850056739
500000,206.055,253.90745884151215
550000,240.86999999999998,262.78734558342984
600000,192.74,273.7868895608284
650000,225.23000000000002,266.8312351644819
700000,194.975,277.02310615219966
750000,198.38,266.84346096272765
800000,216.53499999999994,270.0732757549895
850000,217.15499999999997,267.3748775802666
900000,201.29500000000002,274.6951799039853
950000,222.695,267.1708049860339
1000000,258.765,265.7641229584224
