Training Step,Reward,Value Error
25000,5193.310822079988,139212.24299226754
50000,690.7836509498013,134978.4540772185
75000,672.5666238258582,156852.31977095673
100000,374.4994121137793,144218.79258645774
125000,401.39802110680097,180029.26617462287
150000,767.0079128731949,81690.86363240502
175000,978.8655440869815,109990.39474741567
200000,1457.7149339387358,77228.53677013473
225000,1038.352853763285,131576.85774264912
250000,2010.088653161275,186078.89440320406
275000,2119.0674949966697,167239.86963135048
300000,2084.216981625257,108301.72303024332
325000,3020.6479968057515,223055.51590910903
350000,2063.426426163765,140916.7376307075
375000,1645.9851939088765,102959.85631744047
400000,1680.6509532955774,105334.7498975101
425000,2731.696309464803,95062.76366544988
450000,2395.06592836358,134739.95202833455
475000,2255.155986916263,269088.790844746
500000,3116.2700397235126,256528.67461348165
525000,3173.3404134554617,80338.14593181357
550000,1985.4920357014323,49910.64895684288
575000,1693.6278675427795,400725.5905043355
600000,1933.753632885402,715082.6628406564
625000,1723.7130488856674,54254.13380893168
650000,1495.736908085192,246525.1263472562
675000,1039.93088901294,79529.28982040106
700000,1488.4710911471936,150208.494757668
725000,1749.1968662603726,151592.16010791695
750000,1369.89849434186,837803.2549517832
775000,1525.9887924383363,78661.5170738047
800000,1403.8518343133467,116745.83418083657
825000,1689.9263353713968,165158.6543971794
850000,1008.9101182395443,141829.21541147368
875000,1547.4494472418432,146297.0386339888
900000,1324.629589477026,350964.99685595674
925000,2372.176501277618,120172.47404821862
950000,1413.3117154340798,537978.4088252366
975000,1733.0174381623374,392825.4119588287
1000000,1417.1826619470492,624318.7732132811
