Training Step,Reward,Value Error
25000,-17965.750175601832,825289.3945512176
50000,-9529.410759563016,744432.5914128065
75000,-5938.8273873772805,621168.9629868091
100000,811.292426434616,440382.83792752627
125000,2050.92625048319,314742.9207078531
150000,2848.8390224059804,424116.50443865213
175000,4034.165915111784,441953.809599188
200000,6399.31988863642,531437.792600308
225000,9842.768787123698,601765.6651166002
250000,14003.492822103719,772731.6323045607
275000,17664.646300833036,804539.3664842666
300000,20631.89673055306,710675.0703782816
325000,22668.34911002628,719793.4860251382
350000,24075.58717129944,716517.4343182837
375000,25603.817831674274,778680.2679351772
400000,26883.363355927577,967624.2073068261
425000,28202.16251030654,983810.5784917097
450000,29113.319006025693,869072.2902358454
475000,30118.523562162474,559489.6971129214
500000,31018.984825002673,487587.4764743731
525000,31600.68320226226,857900.777689757
550000,32071.053590947256,2603581.3427849147
575000,32504.95122780853,2629674.636887062
600000,32779.217218974525,2258263.9428903307
625000,32941.056125617826,513868.0053567449
650000,32996.0042249046,561464.3821948658
675000,33063.463353651,728090.8456808602
700000,33125.76444700102,1113779.0465566788
725000,33467.2380159662,1257727.5923993413
750000,33572.37406004452,1643570.1655882224
775000,33655.08321284488,1894109.5604963645
800000,33530.61622069284,1877477.0295397684
825000,33789.844544043466,1431319.1664051532
850000,33930.74888260784,746092.7956636887
875000,34280.050977293184,572141.0899430459
900000,34194.66350840147,463838.14987939055
925000,33983.88161316202,473239.8145256077
950000,33824.13650427294,416769.4335571339
975000,33892.46055564773,389565.2425865144
1000000,33997.85786253618,520299.2916642448
