Training Step,Reward,Value Error
25000,5241.4373597489,172960.55856364715
50000,3191.3177817103697,190163.77921309756
75000,2407.834432435309,187395.58550393346
100000,845.1925094194484,173263.90907137646
125000,655.8360156288815,127714.65223588557
150000,517.32135490487,115488.47408726462
175000,644.544705107526,105693.02650804161
200000,956.9336274359463,255429.39162178012
225000,1367.0716899323143,488253.01231201104
250000,1752.2600994959382,1060350.8457678594
275000,1690.0097728463736,911518.291477825
300000,1903.8252475246325,663688.3872614164
325000,1915.0209124875116,326689.1286869258
350000,2027.8596735294896,582507.1522950585
375000,2009.7486061470381,658584.2337923037
400000,1997.9643925477305,441223.0805463881
425000,2268.07135603186,248270.47833074047
450000,2213.554408933614,231796.1683507758
475000,2253.404167281438,232774.8808063427
500000,2025.9176173457865,433598.51779981627
525000,1774.4231689368032,478594.09181596217
550000,1724.5330658627984,634234.534727783
575000,1639.1816805834703,431610.05845784646
600000,1820.0088858227127,652302.6510054563
625000,1622.0300303575405,476577.762912085
650000,1508.3079482476285,411104.64465658995
675000,1443.0975492499063,537772.997105827
700000,1650.9669358770516,1548634.3721517639
725000,1948.2854606515539,1710941.9701289076
750000,2110.151210405667,2422514.746979403
775000,2209.8640020216576,2663274.311343862
800000,2083.3016236636026,2636750.9199862015
825000,1852.7818665394864,1588098.9066927384
850000,1704.1732826025661,715575.8179853768
875000,1576.2700365363141,1114633.2884214073
900000,1603.2453978201854,1021435.4001167588
925000,1434.1928970756805,906465.9085000284
950000,1636.352009745664,902543.5428170714
975000,1597.7782310835519,1198752.7302012001
1000000,1662.4385496590342,1107162.9375098732
