Training Step,Reward,Value Error
0,0.9309703501549641,
25000,355.9373237681027,
50000,834.8510461880802,
75000,1100.6441401870932,
100000,1397.0038959777396,
125000,1755.581155235476,
150000,2132.150469453232,
175000,2118.5045147519572,
200000,1844.412311696772,
225000,1455.994471426014,
250000,1789.2258601590365,
275000,1329.6349533803793,
300000,1541.0415867518225,
325000,986.562571419507,
350000,1091.6993937760167,
375000,663.3970648961263,
400000,763.6844958744508,
425000,823.6067854637491,
450000,1479.321318715328,
475000,1708.1030508737192,
500000,1759.1649848334646,
525000,1587.3468678354045,
550000,1430.1593245823508,
575000,1462.8173392584029,
600000,1415.1504667550555,
625000,1496.8094493584222,
650000,1405.684317341115,
675000,1395.8233188976553,
700000,1505.3741149575862,
725000,1239.7954986176155,
750000,1329.5704254715201,
775000,1001.2975811467571,
800000,1188.7347149423838,
825000,1169.9717162553868,
850000,2394.8196268557635,
875000,2540.4926195312346,
900000,2514.7461370885276,
925000,1319.768519896643,
950000,1155.9359358381334,
975000,741.470414412107,
1000000,907.9777687363579,
