Training Step,Reward,Value Error
25000,-48323.589520135756,0.0
50000,-49024.99251206168,0.0
75000,-47284.77313451994,0.0
100000,-50599.88310019176,0.0
125000,-49957.20068784142,0.0
150000,-48439.32698140323,0.0
175000,-46085.14309019318,0.0
200000,-47737.804803909996,0.0
225000,-49252.07422376396,0.0
250000,-48285.51756398031,0.0
275000,-46481.54847996864,0.0
300000,-46418.41351104787,0.0
325000,-48652.61211258521,0.0
350000,-55111.476177109646,0.0
375000,-54977.95863853794,0.0
400000,-44932.39565157303,0.0
425000,-45248.96399842469,0.0
450000,-51187.65719446808,0.0
475000,-47667.411938756275,0.0
500000,-49341.83071759895,0.0
525000,-47439.16613675493,0.0
550000,-49191.08539228752,0.0
575000,-46726.8655485162,0.0
600000,-50879.320745575744,0.0
625000,-46560.58296805122,0.0
650000,-48032.103468945796,0.0
675000,-47277.78718649348,0.0
700000,-48140.6532618995,0.0
725000,-50049.4784069342,0.0
750000,-48246.291593553935,0.0
775000,-51012.365895679955,0.0
800000,-47492.742921376914,0.0
825000,-47653.85271536111,0.0
850000,-47853.13013843324,0.0
875000,-45813.469264471074,0.0
900000,-48649.5430065688,0.0
925000,-50885.77375848768,0.0
950000,-49373.904619787376,0.0
975000,-45785.421255882524,0.0
1000000,-49547.96650845506,0.0
