Training Step,Reward,Value Error
12500,0.32156220134198177,83095.44356075248
25000,0.1983045649428684,85092.3594771726
37500,0.15675693183669706,79402.82119535298
50000,0.06582169312708468,67942.43935894298
62500,0.0519266087234142,51834.65033459926
75000,0.03297062427563529,37281.614954620505
87500,0.02355301099907764,33375.10838573188
100000,0.021931939034175535,31136.526378380204
112500,0.021602378017296725,32599.997621948598
125000,0.020759433873624247,29437.36152782264
137500,0.02245324950635047,30679.897336346246
150000,0.025533515475045104,33462.44492738487
162500,0.029593705564152733,34784.764687158844
175000,0.0385795631141671,31515.86476493762
187500,0.04704883009761634,29485.541885585335
200000,0.053307371495372215,27747.480843371824
212500,0.06507213311526423,36111.525055553175
225000,0.07099109909811087,44746.16182094167
237500,0.08996196361754423,47390.03579904881
250000,0.08996595781111498,43390.313160757
262500,0.10334363215938158,33535.98123601139
275000,0.10575433647162659,30492.9000373586
287500,0.10877127555809084,30640.28730899697
300000,0.13621975038001025,35155.380370872386
312500,0.13937308139162588,45121.68200498878
325000,0.13582241145645724,53799.26486532068
337500,0.10661089724251353,76258.34447801289
350000,0.1092481754678322,90561.22860067345
362500,0.12432531163735831,92186.96822922067
375000,0.15676648224939635,105026.65964349023
387500,0.17358066902051042,122697.41546995829
400000,0.2055972051642386,144326.86805134744
412500,0.20488018158501334,138328.7381260417
425000,0.20898249196602078,105136.90297970403
437500,0.1734763823993246,73547.25723186083
450000,0.15780482359802084,50747.77347768425
462500,0.15245027764499902,52783.48564614071
475000,0.1516254818129774,58973.05525613754
487500,0.1478962720089243,50375.785320176896
500000,0.1309000334703815,53098.42016010223
