Training Step,Reward,Value Error
12500,0.24545358824027433,83992.87866769212
25000,0.09930004143054864,134031.91820687486
37500,0.04731973118929978,120478.80517242386
50000,0.05196906748646534,38060.39811503696
62500,0.02370595555868733,23640.281997784925
75000,0.03061764352501397,37569.10340423178
87500,0.04877991109337467,49963.520197528414
100000,0.01760378497060183,49529.655281715706
112500,0.022596721552156303,27686.355056649376
125000,0.0265685887917264,22142.55258898913
137500,0.04501488973738319,18179.207616303684
150000,0.03301478707770419,21235.035588642488
162500,0.05266069942543554,19298.10820298678
175000,0.09099582847449983,27086.2242073854
187500,0.06939343164885997,38180.90100255372
200000,0.06645636842759392,42927.52198416595
212500,0.0750831251065229,36898.9256147139
225000,0.09517106847161458,47733.79932856914
237500,0.13422384282379718,52210.56132336945
250000,0.09367184532723367,60468.309017121115
262500,0.12061457095939852,51619.97848643072
275000,0.16753148545532298,55466.44354437805
287500,0.1538957409036451,163985.00854315492
300000,0.13231775170348634,282626.8867383105
312500,0.17518890281205607,945962.811499678
325000,0.12425245484498858,2247966.247658165
337500,0.15192857752890732,1278017.8415773134
350000,0.177706836272385,63161.12569040688
362500,0.13258255591661497,69378.41967151103
375000,0.13188868736048664,70644.34962175638
387500,0.12258029260152092,70464.29843114506
400000,0.1574828175744866,86567.45000414524
412500,0.1923153839555548,76178.0448405586
425000,0.14449990581563027,55416.72247163836
437500,0.1492104594725406,67891.0708133012
450000,0.14770091824380654,83776.81420481791
462500,0.16081913149308613,93377.9593148766
475000,0.14770871025600857,95261.49285212127
487500,0.10976616320392456,94204.25753132821
500000,0.11299838692087,86888.77518491537
