Training Step,Steps,Reward
0,24.98807915787046,240.244153777787
25000,162.91328068945148,68.36752070153494
50000,187.18394989955735,67.26968008534249
75000,241.40911338431286,87.90278132917757
100000,195.5617143001155,95.89804368353445
125000,121.43426627192176,46.72840516798256
150000,118.4067379839509,47.4348486718309
175000,126.43177893631017,47.13980710697203
200000,117.27022735971822,36.39664336898498
225000,116.10451380114382,31.90430494679928
250000,103.01268562657707,31.837847834821215
275000,74.60419240900607,27.66326195562136
300000,59.01335124359572,23.863309734436278
325000,70.11800838586332,25.136251846477293
350000,44.254008010574594,25.102191317640887
375000,39.060692838197326,30.82451172424317
400000,86.06875681686127,35.422434383600994
425000,67.20938197156703,35.65949841790388
450000,89.36232987114872,29.40945493492209
475000,62.35567255671291,33.86901055597183
500000,72.31596227666476,27.137785474833542
