Training Step,Steps,Reward
0,26.475781858143492,333.076700451943
25000,77.3578356128439,198.82013948485007
50000,103.23008888125851,150.4642526070402
75000,163.93848879562333,72.0506194619271
100000,177.31293300919262,78.04175143880082
125000,189.93825153995047,86.17125903760613
150000,165.47486641028874,70.35973246566226
175000,157.89421599677158,57.78130109233171
200000,126.57806960427187,42.83705189930703
225000,106.95130592496513,36.507213809121474
250000,99.61922995959156,34.601341628602036
275000,85.7164437337684,34.046978220702194
300000,82.375582679593,31.187857247712184
325000,61.54268331256079,25.944002344152164
350000,57.82104374110744,23.60373300439495
375000,51.88564598083821,29.143995394909126
400000,55.31187512755117,31.55531292453506
425000,58.589256796868824,32.6373970536358
450000,60.738161295289096,33.057777618087684
475000,57.313721260385385,26.5568329860297
500000,58.93420503785158,24.627861607605542
