Training Step,Steps,Reward
0,91.75000000000001,-534.978914486882
25000,478.42749999999995,-328.1479673736308
50000,602.5366666666665,-217.72839381873226
75000,794.2199999999999,1.1652774664619965
100000,679.2783333333332,101.90081087262375
125000,578.3366666666667,156.03624202288435
150000,520.9283333333333,179.16540205732167
175000,495.0649999999999,178.10456125941496
200000,447.9683333333333,191.37546524021312
225000,406.76500000000004,204.78856828375817
250000,368.6383333333333,219.89164167593694
275000,342.22,229.16227072777255
300000,317.39166666666665,226.91195063149453
325000,303.3533333333333,232.11982270535827
350000,285.6983333333333,229.2933123669436
375000,282.55833333333334,225.71192046215415
400000,284.81333333333333,223.5630160656332
425000,289.46999999999997,225.57011972125824
450000,292.77,231.55166368504663
475000,293.74666666666667,237.91502530663084
500000,298.79833333333335,242.42001717514822
