Training Step,Reward,Value Error
12500,-1.786140620633227,579417.3544817567
25000,-0.16459498888623805,623835.706212312
37500,-0.06218633402879799,688304.9777262807
50000,-0.03680837268272073,250072.52405412495
62500,0.04314088017471117,218365.34346716106
75000,0.06375252502122092,165659.03556996584
87500,0.08592916685070198,112941.03368461877
100000,0.0866273736082331,99910.8760907799
112500,0.11613860041400384,91639.55917273462
125000,0.14774534391893288,97399.08516566455
137500,0.11789582483663141,118749.90635492653
150000,0.211535390644175,126613.49734975025
162500,0.19928175739210746,151875.23174850643
175000,0.23363438893135952,156489.04900230095
187500,0.27945705531318066,145278.84513599798
200000,0.3339039361934167,142234.40069025755
212500,0.3574843966073254,189275.8428564556
225000,0.43414085932909885,228601.07575041428
237500,0.5608961706717619,239866.3041936569
250000,0.5760129303863843,259894.7189134881
262500,0.6908220887466732,286614.0012724027
275000,0.6485129316363749,310538.2070113234
287500,0.6646273590704103,311663.90622667223
300000,0.7250818237900505,307211.2469704002
312500,0.7752852352952442,299340.7892432362
325000,0.7813634151425805,337243.32112680376
337500,0.7272745341190989,379452.2940107174
350000,0.7124017494045722,394789.24560664594
362500,0.8811974917375678,309159.4140627906
375000,0.8748555854848148,293316.4205482751
387500,0.8265956501538135,286954.9472437799
400000,0.8660957474266551,265230.55245696753
412500,0.8693911213285388,240053.2853501886
425000,0.8279906758695482,220899.06858231127
437500,0.913394725732726,238486.07619488984
450000,0.9096691704314191,226475.90335107222
462500,0.8810726050982685,246222.52085253596
475000,0.8260508549665909,246211.9286423549
487500,0.8649901211152748,283557.8555435315
500000,0.9767741588171133,285542.1157327071
